STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM
ARKANSAS,Caraway Police Department,Municipality,Craighead County,Task Force Model,5/13/2026,link pending,
ARKANSAS,Carroll County Sheriff's Office,County,Carroll County,Task Force Model,5/9/2026,link pending,
ARKANSAS,Carroll County Sheriff's Office,County,Carroll County,Warrant Service Officer,5/9/2026,link pending,
ARKANSAS,Cash Police Department ,Municipality,Craighead County ,Task Force Model,11/6/2025,link,
ARKANSAS,Chidester Police Department,Municipality,Ouachita County,Task Force Model,2/23/2026,link,
ARKANSAS,Clark County Sheriff's Office,County,Clark County ,Jail Enforcement Model,4/5/2026,link pending,
ARKANSAS,Cleburne County Sheriff's Office,County,Cleburne County ,Task Force Model,5/21/2026,link pending,
ARKANSAS,Cleburne County Sheriff's Office,County,Cleburne County ,Warrant Service Office,5/21/2026,link pending,
ARKANSAS,Conway County Sheriff's Office,County,Conway County,Task Force Model,5/24/2026,link pending,
ARKANSAS,Craighead County Sheriff's Office,County,Craighead County,Jail Enforcement Model,6/18/2020,link,
ARKANSAS,Crawford County Sheriff's Office,County ,Crawford County,Warrant Service Officer,7/25/2025,link,
ARKANSAS,Cross County Sheriff's Office,County,Cross County,Warrant Service Officer,4/29/2026,link pending,
ARKANSAS,Dallas County Sheriff's Office,County ,Dallas County,Task Force Model,9/9/2025,link,
ARKANSAS,Dallas County Sheriff's Office,County ,Dallas County,Warrant Service Officer,9/9/2025,link,
ARKANSAS,Des Arc Police Department,Municipality,Prairie County,Task Force Model,4/5/2026,link,
ARKANSAS,Evening Shade Police Department,Municipality,Sharp County,Task Force Model,4/5/2026,link pending,
ARKANSAS,Faulkner County Sheriff's Office ,County ,Faulkner County,Warrant Service Officer,8/28/2025,link,
ARKANSAS,Fordyce Police Department ,Municipality,#NA,Task Force Model,8/28/2025,link,
ARKANSAS,Franklin County Sheriff's Office,County,Franklin County,Task Force Model,2/27/2026,link,
ARKANSAS,Franklin County Sheriff's Office,County,Franklin County,Warrant Service Officer,2/27/2026,link,
ARKANSAS,Fulton County Sheriff's Office,County,Fulton County,Warrant Service Officer,3/31/2026,link,
ARKANSAS,Garland County Sheriff's Office,County ,Garland County,Jail Enforcement Model ,9/22/2025,link,
ARKANSAS,Garland County Sheriff's Office,County,Garland County,Warrant Service Officer,4/13/2026,link,
ARKANSAS,Greene County Sheriff's Office,County,Greene County,Warrant Service Officer,3/23/2026,link,
ARKANSAS,Gurdon Police Department ,Municipality,Clark County,Task Force Model,12/12/2025,link,
ARKANSAS,Hampton Police Department,Municipality,Calhoun County,Task Force Model,6/30/2025,link,
ARKANSAS,Harrisburg Police Department,Municipality,Poinsett County,Task Force Model,4/29/2026,link pending,
ARKANSAS,Hempstead County Sheriff's Office,County,Hempstead County,Task Force Model,2/27/2026,link,
ARKANSAS,Hempstead County Sheriff's Office,County,Hempstead County,Warrant Service Officer,2/27/2026,link,
ARKANSAS,Hot Spring County Sheriff's Office,County,Hot Spring County,Jail Enforcement Model,4/5/2026,link,
ARKANSAS,Hughes Police Department,Municipality,St. Francis County,Task Force Model,5/28/2026,link pending,
ARKANSAS,Independence County Sheriff's Office ,County ,Independence County ,Jail Enforcement Model ,10/17/2025,link,
ARKANSAS,Izard County Sheriff's Office,County ,Izard County,Jail Enforcement Model ,11/4/2025,link,
ARKANSAS,Izard County Sheriff's Office,County ,Izard County,Warrant Service Officer,4/13/2026,link,
ARKANSAS,Jackson County Sheriff's Office ,County,Jackson County,Task Force Model,1/26/2026,link,
ARKANSAS,Johnson County Sheriff's Office,County,Johnson County ,Warrant Service Officer,7/18/2025,link,
ARKANSAS,Lafayette County Sheriff's Office ,County,Lafayette County,Task Force Model,8/6/2025,link,
ARKANSAS,Lafayette County Sheriff's Office ,County,Lafayette County,Warrant Service Officer,7/11/2025,link,
ARKANSAS,Lewisville Police Department,Municipality,Lafayette County,Task Force Model,5/26/2026,link pending,
ARKANSAS,Little River County Sheriff's Office,County,Little River County,Warrant Service Officer,7/7/2025,link,
ARKANSAS,Logan County Sheriff's Office,County,Logan County,Warrant Service Officer,4/17/2026,link,
ARKANSAS,Lonoke County Sheriff's Office,County,Lonoke County,Warrant Service Officer,4/7/2026,link pending,
ARKANSAS,Madison County Sheriff's Office ,County ,Madison County,Warrant Service Officer,10/17/2025,link,
ARKANSAS,Manila Police Department,Municipality,Mississippi County,Task Force Model,5/9/2026,link pending,
ARKANSAS,Marion County Sheriff's Office ,County,Marion County ,Task Force Model,3/31/2026,link,
ARKANSAS,Marion County Sheriff's Office ,County,Marion County ,Warrant Service Officer,5/9/2026,link pending,
ARKANSAS,Miller County Sheriff's Office,County,Miller County,Task Force Model,7/11/2025,link,
ARKANSAS,Mississippi County Sheriff's Office,County,Mississippi County,Jail Enforcement Model,3/31/2026,link,
ARKANSAS,Monette Police Department,Municipality,Craighead County,Task Force Model,4/13/2026,link,
ARKANSAS,Osceola Police Department ,Municipality,Mississippi County,Task Force Model,8/28/2025,link,
ARKANSAS,Ouachita County Sheriff's Office,County,Ouachita County,Jail Enforcement Model,3/31/2026,link,
ARKANSAS,Ozark Police Department,Municipality,Franklin County,Task Force Model,5/26/2026,link pending,
ARKANSAS,Perry County Sheriff's Office,County,Perry County,Jail Enforcement Model,3/28/2026,link,
ARKANSAS,Pike County Sheriff's Office,County,Pike County,Jail Enforcement Model,4/15/2026,link,
ARKANSAS,Poinsett County Sheriff's Office,County,Poinsett County,Jail Enforcement Model,3/23/2026,link pending,
ARKANSAS,Poinsett County Sheriff's Office,County,Poinsett County,Task Force Model,3/23/2026,link pending,
ARKANSAS,Poinsett County Sheriff's Office,County,Poinsett County,Warrant Service Officer,3/23/2026,link,
ARKANSAS,Polk County Sheriff's Office,County,Polk County,Jail Enforcement Model,3/23/2026,link,
ARKANSAS,Pope County Sheriff's Office,County,Pop County,Warrant Service Officer,12/17/2025,link,
ARKANSAS,Prairie County Sheriff's Office ,County,Prairie County,Jail Enforcement Model,3/31/2026,link pending,
ARKANSAS,Prairie County Sheriff's Office ,County,Prairie County,Task Force Model,3/31/2026,link pending,
ARKANSAS,Pulaski County Sheriff's Office,County ,Pulaski County,Warrant Service Officer,9/9/2025,link,
ARKANSAS,Saline County Sheriff's Office,County,Saline County,Warrant Service Officer,6/12/2025,link,
ARKANSAS,Sebastian County Sheriff's Office ,County,Sebastian County ,Warrant Service Officer,7/18/2025,link,
ARKANSAS,Sharp County Sheriff's Office,County,Sharp County,Jail Enforcement Model,4/5/2026,link,
ARKANSAS,Sharp County Sheriff's Office,County,Sharp County,Warrant Service Officer,4/5/2026,link,
ARKANSAS,Sheridan Police Department,Municipality,Grant County,Task Force Model,5/21/2026,link pending,
ARKANSAS,Sherwood Police Department,Municipality,Pulaski County,Task Force Model,3/17/2026,link pending,
ARKANSAS,Stamps Police Department,Municipality,Lafayette County,Task Force Model,5/28/2026,link pending,
ARKANSAS,Texarkana Police Department,Municipality,Bowie County,Task Force Model,7/11/2025,link,
ARKANSAS,Trumann Police Department,Municipality,Poinsett County,Task Force Model,5/9/2026,link pending,
ARKANSAS,Tuckerman Police Department,Municipality,Jackson County,Task Force Model,1/8/2026,link,
ARKANSAS,Washington County Sheriff's Office,County ,Washington County,Warrant Service Officer,7/29/2025,link,
ARKANSAS,White County Sheriff's Office ,County,White County,Jail Enforcement Model,3/31/2026,link,
COLORADO,Teller County Sheriff's Office,County,Teller County,Jail Enforcement Model,6/8/2020,link,
FLORIDA,Alachua County Sheriff's Office,County,Alachua County,Task Force Model,2/26/2025,link,
FLORIDA,Alachua County Sheriff's Office,County,Alachua County,Warrant Service Officer,2/24/2025,link,link
